Sequence_Name,Label,Probability
ID=sp|Q1R0F4||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=CAMPSQ12309|Label=1|Type=AVP|Source=CAMP|Length=37|Dataset=TS_AVP,AVP,1.000
ID=sp|O31159||Label=0|Type=non_AVP|Source=UniProt|Length=19|Dataset=TS_non_AVP,non-AVP,0.425
ID=sp|Q4JX25||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|Q65MA1||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.105
ID=sp|P0DKI9||Label=0|Type=non_AVP|Source=UniProt|Length=18|Dataset=TS_non_AVP,non-AVP,0.190
ID=sp|P0DJB0||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,AVP,0.820
ID=sp|B1WU77||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P83108||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,AVP,0.950
ID=sp|Q6G2G8||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|Q0W4J1||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.040
ID=sp|P56768||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|P59847||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,AVP,0.985
ID=sp|C0HJB8||Label=0|Type=non_AVP|Source=UniProt|Length=21|Dataset=TS_non_AVP,AVP,0.955
ID=DRAVPe01696|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,non-AVP,0.465
ID=sp|P82826||Label=0|Type=non_AVP|Source=UniProt|Length=24|Dataset=TS_non_AVP,AVP,0.995
ID=sp|O21953||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.095
ID=sp|Q2JR95||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P0DL39||Label=0|Type=non_AVP|Source=UniProt|Length=16|Dataset=TS_non_AVP,AVP,0.975
ID=CAMPSQ11658|Label=1|Type=AVP|Source=CAMP|Length=12|Dataset=TS_AVP,AVP,0.740
ID=sp|B0RMM8||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|Q31RR3||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.065
ID=21479|Label=1|Type=AVP|Source=DBAASP|Length=7|Dataset=TS_AVP,AVP,0.930
ID=sp|A0A075B6Y3||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,AVP,0.755
ID=sp|B3EWM1||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,non-AVP,0.370
ID=sp|O29652||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.080
ID=sp|A0A351||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|C0HKN3||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,1.000
ID=sp|Q0P3J9||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,non-AVP,0.025
ID=DRAMP02824|Label=1|Type=AVP|Source=DRAMP|Length=40|Dataset=TS_AVP,AVP,0.995
ID=sp|Q2PMQ8||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|Q8TGU5||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.135
ID=sp|A6MMF0||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P0DI92||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,non-AVP,0.345
ID=sp|P28499||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P86586||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.125
ID=HIP612|Label=1|Type=AVP|Source=HIPdb|Length=20|Dataset=TS_AVP,non-AVP,0.425
ID=DRAVPe01836|Label=1|Type=AVP|Source=DRAVP|Length=12|Dataset=TS_AVP,non-AVP,0.405
ID=sp|Q67JW7||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|A5CCQ4||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P24999||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,non-AVP,0.040
ID=DRAVPe00251|Label=1|Type=AVP|Source=DRAVP|Length=34|Dataset=TS_AVP,AVP,0.985
ID=sp|P69393||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|A0A0X1KGZ5||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,AVP,0.775
ID=sp|Q6A5A1||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.010
ID=DRAVPe01200|Label=1|Type=AVP|Source=DRAVP|Length=16|Dataset=TS_AVP,AVP,1.000
ID=38411|Label=1|Type=AVP|Source=Peptipedia|Length=46|Dataset=TS_AVP,AVP,0.760
ID=sp|P83797||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|A0T0U1||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P86160||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,0.995
ID=sp|P0CK45||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|A6LPP7||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|A5IMA7||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P82879||Label=0|Type=non_AVP|Source=UniProt|Length=27|Dataset=TS_non_AVP,AVP,1.000
ID=sp|Q85X47||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P86466||Label=0|Type=non_AVP|Source=UniProt|Length=27|Dataset=TS_non_AVP,AVP,0.815
ID=sp|A4QLK8||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.045
ID=sp|P04357||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.105
ID=7066|Label=1|Type=AVP|Source=Peptipedia|Length=13|Dataset=TS_AVP,AVP,0.975
ID=sp|P0DQO1||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,AVP,0.960
ID=sp|P83910||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,AVP,0.905
ID=DRAVPe00582|Label=1|Type=AVP|Source=DRAVP|Length=29|Dataset=TS_AVP,AVP,1.000
ID=sp|B0M3D3||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,0.520
ID=sp|B1JDZ6||Label=0|Type=non_AVP|Source=UniProt|Length=23|Dataset=TS_non_AVP,non-AVP,0.000
ID=DRAVPe00509|Label=1|Type=AVP|Source=DRAVP|Length=28|Dataset=TS_AVP,AVP,1.000
ID=sp|Q54E17||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.080
ID=sp|A7H539||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.070
ID=sp|A0A0R4I952||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.115
ID=sp|B4HSS0||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|Q95H59||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.115
ID=CAMPSQ2708|Label=1|Type=AVP|Source=CAMP|Length=12|Dataset=TS_AVP,AVP,1.000
ID=sp|P85342||Label=0|Type=non_AVP|Source=UniProt|Length=8|Dataset=TS_non_AVP,AVP,0.555
ID=sp|P19979||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,non-AVP,0.145
ID=sp|P86444||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,0.655
ID=sp|P0DM99||Label=0|Type=non_AVP|Source=UniProt|Length=18|Dataset=TS_non_AVP,AVP,0.835
ID=sp|Q38804||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.045
ID=sp|Q8TGT8||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|P60273||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,AVP,0.785
ID=sp|P11060||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,AVP,0.960
ID=sp|P0CU23||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.090
ID=sp|A4QJD4||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P09196||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,non-AVP,0.440
ID=ACoVP100147|Label=1|Type=AVP|Source=ACovPepDB|Length=12|Dataset=TS_AVP,AVP,0.585
ID=sp|P63327||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,AVP,0.980
ID=HIP696|Label=1|Type=AVP|Source=HIPdb|Length=20|Dataset=TS_AVP,AVP,0.675
ID=DRAVPe00709|Label=1|Type=AVP|Source=DRAVP|Length=5|Dataset=TS_AVP,AVP,0.980
ID=sp|P83996||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,AVP,0.925
ID=sp|P86085||Label=0|Type=non_AVP|Source=UniProt|Length=22|Dataset=TS_non_AVP,non-AVP,0.120
ID=14145|Label=1|Type=AVP|Source=Peptipedia|Length=27|Dataset=TS_AVP,AVP,1.000
ID=sp|P0ADF3||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,non-AVP,0.025
ID=DRAVPe01984|Label=1|Type=AVP|Source=DRAVP|Length=22|Dataset=TS_AVP,non-AVP,0.465
ID=sp|A0KBN6||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|Q10WA3||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.085
ID=sp|P0DQW9||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,AVP,0.630
ID=sp|Q32RU2||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.020
ID=19451|Label=1|Type=AVP|Source=DBAASP|Length=9|Dataset=TS_AVP,AVP,0.650
ID=sp|Q3E758||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|C1P620||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P84664||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,0.660
ID=sp|P82082||Label=0|Type=non_AVP|Source=UniProt|Length=8|Dataset=TS_non_AVP,AVP,0.955
ID=sp|Q7LZ24||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,non-AVP,0.405
ID=sp|Q47881||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,non-AVP,0.220
ID=DRAVPe01691|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,AVP,0.690
ID=sp|A5WGS5||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.055
ID=sp|P86815||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,AVP,0.790
ID=sp|A2RGQ2||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.080
ID=sp|P86826||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,non-AVP,0.300
ID=sp|P24713||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,AVP,0.850
ID=sp|C0HLM8||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,AVP,0.645
ID=sp|P85480||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.290
ID=DRAVPe00203|Label=1|Type=AVP|Source=DRAVP|Length=20|Dataset=TS_AVP,AVP,1.000
ID=sp|C0HK90||Label=0|Type=non_AVP|Source=UniProt|Length=22|Dataset=TS_non_AVP,AVP,0.770
ID=sp|Q7U8A1||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|Q8TGM3||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,non-AVP,0.060
ID=sp|P0DKZ5||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,AVP,0.910
ID=sp|P9WJ80||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,non-AVP,0.045
ID=sp|P61789||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.405
ID=6696|Label=1|Type=AVP|Source=Peptipedia|Length=14|Dataset=TS_AVP,AVP,0.995
ID=sp|Q477Q1||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|D2Y4A2||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,AVP,0.785
ID=HIP761|Label=1|Type=AVP|Source=HIPdb|Length=28|Dataset=TS_AVP,AVP,0.930
ID=sp|Q86HW0||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P0DM15||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,AVP,0.800
ID=sp|A6MMM5||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P31886||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,non-AVP,0.405
ID=19788|Label=1|Type=AVP|Source=DBAASP|Length=36|Dataset=TS_AVP,AVP,1.000
ID=sp|P02334||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,AVP,0.800
ID=sp|B5ZB63||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P80100||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P83380||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,non-AVP,0.045
ID=sp|P55896||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,AVP,0.945
ID=sp|B0YPM8||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,non-AVP,0.060
ID=CAMPSQ9617|Label=1|Type=AVP|Source=CAMP|Length=13|Dataset=TS_AVP,non-AVP,0.045
ID=sp|P81455||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.100
ID=sp|C1P619||Label=0|Type=non_AVP|Source=UniProt|Length=16|Dataset=TS_non_AVP,non-AVP,0.225
ID=sp|P84846||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,non-AVP,0.080
ID=sp|P18108||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,non-AVP,0.175
ID=sp|A2BP51||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|Q46501||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=HIP868|Label=1|Type=AVP|Source=HIPdb|Length=36|Dataset=TS_AVP,AVP,1.000
ID=sp|A5GWH9||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|P86628||Label=0|Type=non_AVP|Source=UniProt|Length=8|Dataset=TS_non_AVP,AVP,0.845
ID=DRAVPe01508|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,AVP,1.000
ID=sp|A4QJD3||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|Q54N95||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.220
ID=sp|P86813||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,AVP,0.835
ID=sp|P13737||Label=0|Type=non_AVP|Source=UniProt|Length=6|Dataset=TS_non_AVP,AVP,0.830
ID=sp|Q8I9B4||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.495
ID=DRAVPe01517|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,AVP,1.000
ID=sp|B0RSA2||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|B8DP14||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|Q9MUV6||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|P82026||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,0.625
ID=DRAVPe01667|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,AVP,0.860
ID=sp|P0CI04||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.470
ID=sp|Q7Z0A5||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,AVP,0.950
ID=DRAVPe01807|Label=1|Type=AVP|Source=DRAVP|Length=22|Dataset=TS_AVP,AVP,0.830
ID=sp|Q8TZI3||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|P84948||Label=0|Type=non_AVP|Source=UniProt|Length=5|Dataset=TS_non_AVP,AVP,0.995
ID=sp|P85981||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.145
ID=sp|P80826||Label=0|Type=non_AVP|Source=UniProt|Length=5|Dataset=TS_non_AVP,AVP,0.890
ID=sp|C0HJX9||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P81816||Label=0|Type=non_AVP|Source=UniProt|Length=18|Dataset=TS_non_AVP,non-AVP,0.405
ID=sp|Q48CT7||Label=0|Type=non_AVP|Source=UniProt|Length=24|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|C0HM51||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,AVP,0.665
ID=HIP979|Label=1|Type=AVP|Source=HIPdb|Length=13|Dataset=TS_AVP,non-AVP,0.475
ID=sp|P86695||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,non-AVP,0.120
ID=sp|P02882||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,AVP,0.520
ID=sp|P0C6R6||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,AVP,0.745
ID=sp|P0DM45||Label=0|Type=non_AVP|Source=UniProt|Length=23|Dataset=TS_non_AVP,AVP,0.860
ID=sp|Q8TGS2||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|Q9TWR4||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,non-AVP,0.390
ID=sp|A0A023UBX6||Label=0|Type=non_AVP|Source=UniProt|Length=23|Dataset=TS_non_AVP,non-AVP,0.125
ID=sp|P85934||Label=0|Type=non_AVP|Source=UniProt|Length=7|Dataset=TS_non_AVP,AVP,0.610
ID=DRAVPe00766|Label=1|Type=AVP|Source=DRAVP|Length=7|Dataset=TS_AVP,AVP,1.000
ID=DRAVPe00460|Label=1|Type=AVP|Source=DRAVP|Length=12|Dataset=TS_AVP,AVP,0.745
ID=sp|P85066||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,AVP,0.885
ID=6481|Label=1|Type=AVP|Source=Peptipedia|Length=24|Dataset=TS_AVP,AVP,0.950
ID=sp|P80818||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,non-AVP,0.335
ID=sp|Q7U9I8||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P0C8C2||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.140
ID=sp|P9WER7||Label=0|Type=non_AVP|Source=UniProt|Length=25|Dataset=TS_non_AVP,non-AVP,0.160
ID=sp|P84943||Label=0|Type=non_AVP|Source=UniProt|Length=5|Dataset=TS_non_AVP,AVP,0.900
ID=DRAVPe00732|Label=1|Type=AVP|Source=DRAVP|Length=35|Dataset=TS_AVP,AVP,1.000
ID=sp|Q8WNY7||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,AVP,0.855
ID=sp|P27387||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.095
ID=sp|P85610||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,AVP,0.875
ID=sp|A0A329||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.055
ID=sp|Q89FG5||Label=0|Type=non_AVP|Source=UniProt|Length=26|Dataset=TS_non_AVP,non-AVP,0.170
ID=sp|P46112||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,AVP,0.815
ID=sp|Q3V4R1||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.205
ID=sp|C0HLP6||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,AVP,0.995
ID=sp|P82243||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.155
ID=sp|P85950||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.050
ID=sp|A1R8M6||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|P84310||Label=0|Type=non_AVP|Source=UniProt|Length=19|Dataset=TS_non_AVP,non-AVP,0.080
ID=sp|A1SNJ2||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P0DPO1||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|Q9MTK4||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P39089||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,AVP,0.795
ID=sp|C0HLU2||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.090
ID=DRAVPe01646|Label=1|Type=AVP|Source=DRAVP|Length=6|Dataset=TS_AVP,AVP,0.675
ID=22817|Label=1|Type=AVP|Source=Peptipedia|Length=27|Dataset=TS_AVP,AVP,0.745
ID=sp|P0DPL3||Label=0|Type=non_AVP|Source=UniProt|Length=16|Dataset=TS_non_AVP,AVP,1.000
ID=sp|B8DV05||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|C0HM30||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,AVP,0.980
ID=sp|B3EWS8||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,AVP,0.610
ID=sp|P82042||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,0.720
ID=sp|Q3BAM1||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.015
ID=DRAVPe00243|Label=1|Type=AVP|Source=DRAVP|Length=36|Dataset=TS_AVP,AVP,1.000
ID=DRAVPe01966|Label=1|Type=AVP|Source=DRAVP|Length=21|Dataset=TS_AVP,AVP,0.990
ID=sp|P30806||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,non-AVP,0.310
ID=sp|Q3ZJ64||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P86607||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,AVP,0.980
ID=sp|P0DP16||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.045
ID=sp|Q4A5I7||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.045
ID=sp|O48409||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|Q2JLQ9||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P41589||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,AVP,0.970
ID=sp|B1VAC4||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P0DO62||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,non-AVP,0.170
ID=sp|P84017||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,AVP,0.920
ID=sp|A0T0P7||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.010
ID=6148|Label=1|Type=AVP|Source=Peptipedia|Length=14|Dataset=TS_AVP,AVP,0.790
ID=sp|P20104||Label=0|Type=non_AVP|Source=UniProt|Length=7|Dataset=TS_non_AVP,AVP,0.960
ID=sp|P85495||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,non-AVP,0.055
ID=sp|D0EPY3||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,non-AVP,0.105
ID=sp|P86622||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,AVP,0.995
